quarter,plot_year,inflation_pct,real_growth_pct,short_rate_pct,long_rate_pct,debt_gdp_pct,no_fiscal_debt_gdp_pct,interest_gdp_pct,primary_balance_gdp_pct,primary_balance_adjustment_gdp_pct
2045Q3,2045.500000,3.750000,2.250000,4.725000,5.525000,206.656299,230.638007,14.441332,3.951233,5.484218
2045Q4,2045.750000,3.687500,2.187500,4.706250,5.506250,206.241228,231.581744,14.123918,3.915056,5.484218
2046Q1,2046.000000,3.625000,2.125000,4.687500,5.487500,205.805826,232.509611,13.793843,3.937117,5.484218
2046Q2,2046.250000,3.562500,2.062500,4.668750,5.468750,205.346826,233.419074,13.449572,3.958404,5.484218
2046Q3,2046.500000,3.500000,2.000000,4.650000,5.450000,204.863772,234.310418,13.102279,3.978941,5.484218
2046Q4,2046.750000,3.468750,1.987500,4.631250,5.431250,204.367468,235.189067,12.886956,3.928428,5.484218
2047Q1,2047.000000,3.437500,1.975000,4.612500,5.412500,203.838026,236.035249,12.662873,3.949043,5.484218
2047Q2,2047.250000,3.406250,1.962500,4.593750,5.393750,203.276410,236.849925,12.440865,3.969223,5.484218
2047Q3,2047.500000,3.375000,1.950000,4.575000,5.375000,202.685829,237.636329,12.229997,3.988980,5.484218
2047Q4,2047.750000,3.343750,1.937500,4.556250,5.356250,202.083704,238.411946,12.025855,3.946838,5.484218
2048Q1,2048.000000,3.312500,1.925000,4.537500,5.337500,201.456596,239.163438,11.829703,3.966564,5.484218
2048Q2,2048.250000,3.281250,1.912500,4.518750,5.318750,200.805430,239.891865,11.636042,3.985877,5.484218
2048Q3,2048.500000,3.250000,1.900000,4.500000,5.300000,200.131982,240.599173,11.448361,4.004788,5.484218
2048Q4,2048.750000,3.218750,1.887500,4.493750,5.293750,199.458613,241.307960,11.272362,3.946534,5.484218
2049Q1,2049.000000,3.187500,1.875000,4.487500,5.287500,198.770436,242.003888,11.114690,3.965618,5.484218
2049Q2,2049.250000,3.156250,1.862500,4.481250,5.281250,198.068333,242.688173,10.959961,3.984305,5.484218
2049Q3,2049.500000,3.125000,1.850000,4.475000,5.275000,197.353504,243.362384,10.809511,4.002605,5.484218
2049Q4,2049.750000,3.093750,1.837500,4.468750,5.268750,196.653080,244.054052,10.712014,3.965385,5.484218
2050Q1,2050.000000,3.062500,1.825000,4.462500,5.262500,195.954757,244.751143,10.621988,3.983596,5.484218
2050Q2,2050.250000,3.031250,1.812500,4.456250,5.256250,195.259572,245.454985,10.536398,4.001431,5.484218
2050Q3,2050.500000,3.000000,1.800000,4.450000,5.250000,194.568228,246.166585,10.453956,4.018898,5.484218
2050Q4,2050.750000,2.979167,1.795833,4.443750,5.243750,193.890870,246.894101,10.375581,3.963919,5.484218
2051Q1,2051.000000,2.958333,1.791667,4.437500,5.237500,193.210627,247.621014,10.303399,3.981645,5.484218
2051Q2,2051.250000,2.937500,1.787500,4.431250,5.231250,192.528060,248.348144,10.233342,3.999074,5.484218
2051Q3,2051.500000,2.916667,1.783333,4.425000,5.225000,191.844018,249.076601,10.166606,4.016211,5.484218
2051Q4,2051.750000,2.895833,1.779167,4.418750,5.218750,191.179203,249.827350,10.102324,3.952754,5.484218
2052Q1,2052.000000,2.875000,1.775000,4.412500,5.212500,190.513557,250.580475,10.039960,3.970242,5.484218
2052Q2,2052.250000,2.854167,1.770833,4.406250,5.206250,189.846998,251.336027,9.977242,3.987439,5.484218
2052Q3,2052.500000,2.833333,1.766667,4.400000,5.200000,189.179380,252.094002,9.913927,4.004351,5.484218
2052Q4,2052.750000,2.812500,1.762500,4.393750,5.193750,188.520350,252.864184,9.850138,3.981942,5.484218
2053Q1,2053.000000,2.791667,1.758333,4.387500,5.187500,187.859959,253.636767,9.786453,3.998735,5.484218
2053Q2,2053.250000,2.770833,1.754167,4.381250,5.181250,187.198122,254.411806,9.722398,4.015250,5.484218
2053Q3,2053.500000,2.750000,1.750000,4.375000,5.175000,186.534900,255.189506,9.658552,4.031494,5.484218
2053Q4,2053.750000,2.729167,1.745833,4.368750,5.168750,185.888163,255.987872,9.594096,3.975390,5.484218
2054Q1,2054.000000,2.708333,1.741667,4.362500,5.162500,185.239529,256.788656,9.529739,3.991892,5.484218
2054Q2,2054.250000,2.687500,1.737500,4.356250,5.156250,184.588901,257.591901,9.464948,4.008124,5.484218
2054Q3,2054.500000,2.666667,1.733333,4.350000,5.150000,183.936388,258.397853,9.400541,4.024091,5.484218
2054Q4,2054.750000,2.645833,1.729167,4.343750,5.143750,183.298628,259.223294,9.336020,3.973163,5.484218
2055Q1,2055.000000,2.625000,1.725000,4.337500,5.137500,182.658861,260.051599,9.272476,3.989326,5.484218
2055Q2,2055.250000,2.604167,1.720833,4.331250,5.131250,182.016897,260.882721,9.208125,4.005225,5.484218
2055Q3,2055.500000,2.583333,1.716667,4.325000,5.125000,181.372812,261.716877,9.144024,4.020865,5.484218
2055Q4,2055.750000,2.562500,1.712500,4.318750,5.118750,180.739779,262.567386,9.079542,3.983221,5.484218
2056Q1,2056.000000,2.541667,1.708333,4.312500,5.112500,180.104190,263.420767,9.014723,3.998913,5.484218
2056Q2,2056.250000,2.520833,1.704167,4.306250,5.106250,179.465530,264.276641,8.947787,4.014351,5.484218
2056Q3,2056.500000,2.500000,1.700000,4.300000,5.100000,178.824065,265.135404,8.881830,4.029540,5.484218
