year,debt_gdp_ratio,interest_rate,next_year_debt_ratio_change,scenario
33,0.9469775843402867,0.029469775843402865,-0.0015883521484385474,convergent
34,0.9453892321918481,0.02945389232191848,-0.0015867083080711945,convergent
35,0.943802523883777,0.02943802523883777,-0.0015850177276746785,convergent
36,0.9422175061561022,0.029422175061561022,-0.0015832806096651927,convergent
37,0.940634225546437,0.029406342255464367,-0.0015814971617647035,convergent
38,0.9390527283846724,0.02939052728384672,-0.0015796675969485374,convergent
39,0.9374730607877239,0.029374730607877236,-0.001577792133391773,convergent
40,0.935895268654332,0.029358952686543316,-0.0015758709944144241,convergent
41,0.9343193976599176,0.029343193976599173,-0.0015739044084254247,convergent
42,0.9327454932514921,0.02932745493251492,-0.001571892608865531,convergent
43,0.9311736006426267,0.029311736006426264,-0.001569835834149035,convergent
44,0.9296037648084776,0.029296037648084774,-0.001567734327604424,convergent
45,0.9280360304808732,0.029280360304808732,-0.0015655883374139454,convergent
46,0.9264704421434593,0.02926470442143459,-0.001563398116552133,convergent
47,0.9249070440269072,0.029249070440269066,-0.0015611639227233048,convergent
48,0.9233458801041838,0.029233458801041834,-0.0015588860182980616,convergent
49,0.9217869940858858,0.029217869940858857,-0.0015565646702488355,convergent
50,0.920230429415637,0.029202304294156368,-0.0015542001500844851,convergent
51,0.9186762292655526,0.029186762292655523,-0.0015517927337839552,convergent
52,0.9171244365317687,0.029171244365317685,-0.0015493427017290711,convergent
53,0.9155750938300397,0.029155750938300393,-0.0015468503386364789,convergent
54,0.9140282434914032,0.029140282434914032,-0.0015443159334887178,convergent
55,0.9124839275579145,0.029124839275579142,-0.0015417397794645384,convergent
56,0.9109421877784499,0.029109421877784494,-0.0015391221738683802,convergent
57,0.9094030656045815,0.029094030656045815,-0.001536463418059155,convergent
58,0.9078666021865224,0.02907866602186522,-0.0015337638173783062,convergent
59,0.906332838369144,0.02906332838369144,-0.001531023681077109,convergent
60,0.9048018146880669,0.029048018146880666,-0.0015282433222434146,convergent
61,0.9032735713658234,0.029032735713658234,-0.0015254230577276696,convergent
62,0.9017481483080958,0.029017481483080955,-0.0015225632080683883,convergent
63,0.9002255851000274,0.02900225585100027,-0.0015196640974170037,convergent
64,0.8987059210026104,0.028987059210026103,-0.0015167260534622185,convergent
65,0.8971891949491482,0.028971891949491478,-0.0015137494073538087,convergent
66,0.8956754455417943,0.02895675445541794,-0.001510734493625935,convergent
67,0.8941647110481684,0.02894164711048168,-0.0015076816501200258,convergent
68,0.8926570293980484,0.02892657029398048,-0.0015045912179072005,convergent
69,0.8911524381801411,0.02891152438180141,-0.0015014635412103072,convergent
70,0.8896509746389308,0.028896509746389305,-0.0014982989673256002,convergent
71,0.8881526756716053,0.02888152675671605,-0.0014950978465440318,convergent
72,0.8866575778250613,0.02886657577825061,-0.0014918605320722918,convergent
73,0.885165717292989,0.02885165717292989,-0.001488587379953523,convergent
74,0.8836771299130355,0.02883677129913035,-0.0014852787489878037,convergent
75,0.8821918511640476,0.028821918511640475,-0.001481935000652369,convergent
76,0.8807099161633952,0.028807099161633952,-0.001478556499021691,convergent
77,0.8792313596643735,0.028792313596643734,-0.0014751436106873479,convergent
78,0.8777562160536861,0.02877756216053686,-0.0014716967046777604,convergent
79,0.8762845193490084,0.02876284519349008,-0.0014682161523778322,convergent
80,0.8748163031966306,0.028748163031966305,-0.0014647023274484833,convergent
0,1.6,0.036,0.0018461538461538403,above_unstable_fixed_point
1,1.601846153846154,0.03601846153846154,0.0018674883932635437,above_unstable_fixed_point
2,1.6037136422394174,0.03603713642239417,0.0018891361714036825,above_unstable_fixed_point
3,1.605602778410821,0.03605602778410821,0.0019111031271048682,above_unstable_fixed_point
4,1.607513881537926,0.03607513881537926,0.0019333953486661212,above_unstable_fixed_point
5,1.6094472768865922,0.03609447276886592,0.0019560190702354024,above_unstable_fixed_point
6,1.6114032959568276,0.036114032959568276,0.001978980676027616,above_unstable_fixed_point
7,1.6133822766328552,0.03613382276632855,0.0020022867046856196,above_unstable_fixed_point
8,1.6153845633375408,0.036153845633375405,0.0020259438537897608,above_unstable_fixed_point
9,1.6174105071913305,0.03617410507191331,0.0020499589845216935,above_unstable_fixed_point
10,1.6194604661758523,0.03619460466175852,0.002074339126488498,above_unstable_fixed_point
11,1.6215348053023408,0.036215348053023406,0.0020990914827136373,above_unstable_fixed_point
12,1.6236338967850545,0.03623633896785054,0.0021242234348010725,above_unstable_fixed_point
13,1.6257581202198557,0.036257581202198554,0.002149742548279681,above_unstable_fixed_point
14,1.6279078627681354,0.03627907862768135,0.0021756565781350665,above_unstable_fixed_point
15,1.6300835193462704,0.0363008351934627,0.0022019734745363584,above_unstable_fixed_point
16,1.6322854928208068,0.03632285492820807,0.002228701388765869,above_unstable_fixed_point
17,1.6345141942095727,0.036345141942095725,0.002255848679359836,above_unstable_fixed_point
18,1.6367700428889325,0.03636770042888932,0.0022834239184689655,above_unstable_fixed_point
19,1.6390534668074015,0.036390534668074015,0.002311435898447678,above_unstable_fixed_point
20,1.6413649027058492,0.03641364902705849,0.0023398936386815616,above_unstable_fixed_point
21,1.6437047963445308,0.03643704796344531,0.0023688063926630204,above_unstable_fixed_point
22,1.6460736027371938,0.03646073602737193,0.002398183655325155,above_unstable_fixed_point
23,1.648471786392519,0.03648471786392518,0.002428035170645224,above_unstable_fixed_point
24,1.650899821563164,0.03650899821563164,0.002458370939528446,above_unstable_fixed_point
25,1.6533581925026926,0.036533581925026926,0.002489201227984474,above_unstable_fixed_point
26,1.655847393730677,0.03655847393730677,0.0025205365756088578,above_unstable_fixed_point
27,1.658367930306286,0.03658367930306286,0.0025523878043825256,above_unstable_fixed_point
28,1.6609203181106684,0.03660920318110668,0.0025847660278029427,above_unstable_fixed_point
29,1.6635050841384713,0.036635050841384714,0.0026176826603615385,above_unstable_fixed_point
30,1.6661227667988328,0.03666122766798832,0.0026511494273820293,above_unstable_fixed_point
31,1.6687739162262147,0.036687739162262145,0.002685178375236035,above_unstable_fixed_point
32,1.6714590946014507,0.03671459094601451,0.002719781881951923,above_unstable_fixed_point
33,1.6741788764834027,0.03674178876483403,0.002754972668234837,above_unstable_fixed_point
34,1.6769338491516375,0.03676933849151637,0.002790763808915871,above_unstable_fixed_point
35,1.6797246129605534,0.036797246129605526,0.002827168744849738,above_unstable_fixed_point
36,1.6825517817054032,0.03682551781705403,0.0028642012952809623,above_unstable_fixed_point
37,1.685415983000684,0.03685415983000684,0.0029018756706999382,above_unstable_fixed_point
38,1.688317858671384,0.03688317858671383,0.0029402064862111346,above_unstable_fixed_point
39,1.6912580651575952,0.036912580651575946,0.0029792087754367405,above_unstable_fixed_point
40,1.694237273933032,0.03694237273933032,0.0030188980049804578,above_unstable_fixed_point
41,1.6972561719380126,0.036972561719380126,0.003059290089477417,above_unstable_fixed_point
42,1.70031546202749,0.0370031546202749,0.003100401407257464,above_unstable_fixed_point
43,1.7034158634347476,0.037034158634347475,0.0031422488166504914,above_unstable_fixed_point
44,1.7065581122513982,0.03706558112251398,0.0031848496729640257,above_unstable_fixed_point
45,1.7097429619243623,0.037097429619243616,0.003228221846165053,above_unstable_fixed_point
46,1.7129711837705273,0.03712971183770527,0.003272383739299483,above_unstable_fixed_point
47,1.7162435675098267,0.03716243567509826,0.0033173543076846423,above_unstable_fixed_point
48,1.7195609218175112,0.03719560921817511,0.003363153078912169,above_unstable_fixed_point
49,1.7229240748964234,0.037229240748964235,0.003409800173700477,above_unstable_fixed_point
50,1.7263338750701238,0.03726333875070123,0.003457316327638277,above_unstable_fixed_point
51,1.7297911913977622,0.03729791191397762,0.00350572291386312,above_unstable_fixed_point
52,1.7332969143116252,0.03733296914311625,0.003555041966720676,above_unstable_fixed_point
53,1.736851956278346,0.03736851956278346,0.0036052962064540934,above_unstable_fixed_point
54,1.7404572524848,0.037404572524847995,0.003656509064974403,above_unstable_fixed_point
55,1.7441137615497746,0.03744113761549774,0.0037087047127668657,above_unstable_fixed_point
56,1.7478224662625415,0.03747822466262541,0.00376190808699028,above_unstable_fixed_point
57,1.7515843743495316,0.037515843743495314,0.0038161449208305416,above_unstable_fixed_point
58,1.7554005192703621,0.03755400519270362,0.003871441774172424,above_unstable_fixed_point
59,1.7592719610445346,0.037592719610445344,0.003927826065657815,above_unstable_fixed_point
60,1.7631997871101925,0.03763199787110193,0.00398532610620234,above_unstable_fixed_point
61,1.767185113216395,0.037671851132163946,0.0040439711340466535,above_unstable_fixed_point
62,1.7712290843504417,0.037712290843504415,0.004103791351423271,above_unstable_fixed_point
63,1.775332875701865,0.037753328757018645,0.004164817962924256,above_unstable_fixed_point
64,1.7794976936647893,0.03779497693664789,0.004227083215660822,above_unstable_fixed_point
65,1.78372477688045,0.0378372477688045,0.0042906204413106774,above_unstable_fixed_point
66,1.7880153973217607,0.0378801539732176,0.004355464100155497,above_unstable_fixed_point
67,1.7923708614219163,0.03792370861421916,0.0044216498272164366,above_unstable_fixed_point
68,1.7967925112491328,0.03796792511249132,0.004489214480602867,above_unstable_fixed_point
69,1.8012817257297355,0.038012817257297354,0.004558196192196374,above_unstable_fixed_point
70,1.8058399219219319,0.038058399219219316,0.004628634420799468,above_unstable_fixed_point
71,1.8104685563427314,0.03810468556342731,0.004700570007887216,above_unstable_fixed_point
72,1.8151691263506187,0.038151691263506184,0.004774045236107983,above_unstable_fixed_point
73,1.8199431715867267,0.03819943171586726,0.004849103890689413,above_unstable_fixed_point
74,1.8247922754774162,0.038247922754774163,0.004925791323915521,above_unstable_fixed_point
75,1.8297180668013318,0.03829718066801331,0.005004154522851327,above_unstable_fixed_point
76,1.8347222213241832,0.03834722221324183,0.005084242180503632,above_unstable_fixed_point
77,1.839806463504687,0.038398064635046865,0.0051661047706177705,above_unstable_fixed_point
78,1.8449725682753046,0.03844972568275304,0.005249794626324643,above_unstable_fixed_point
79,1.8502223629016292,0.038502223629016286,0.005335366022865657,above_unstable_fixed_point
80,1.8555577289244949,0.03855557728924494,0.005422875264638825,above_unstable_fixed_point
0,1.0,0.03,0.002884615384615383,no_fixed_point
1,1.0028846153846154,0.03002884615384615,0.002884695394287661,no_fixed_point
2,1.005769310778903,0.030057693107789028,0.002884935432181379,no_fixed_point
3,1.0086542462110843,0.03008654246211084,0.0028853355382450173,no_fixed_point
4,1.0115395817493293,0.03011539581749329,0.0028858957879514344,no_fixed_point
5,1.0144254775372807,0.030144254775372803,0.002886616292328637,no_fixed_point
6,1.0173120938296094,0.03017312093829609,0.0028874971980073546,no_fixed_point
7,1.0201995910276167,0.030201995910276162,0.0028885386872854087,no_fixed_point
8,1.0230881297149022,0.03023088129714902,0.00288974097820896,no_fixed_point
9,1.025977870693111,0.03025977870693111,0.0028911043246706517,no_fixed_point
10,1.0288689750177817,0.030288689750177816,0.0028926290165247805,no_fixed_point
11,1.0317616040343065,0.03031761604034306,0.002894315379719535,no_fixed_point
12,1.0346559194140261,0.030346559194140258,0.0028961637764464525,no_fixed_point
13,1.0375520831904725,0.030375520831904722,0.0028981746053071515,no_fixed_point
14,1.0404502577957797,0.030404502577957793,0.0029003483014975445,no_fixed_point
15,1.0433506060972773,0.030433506060972768,0.0029026853370096237,no_fixed_point
16,1.0462532914342868,0.030462532914342866,0.002905186220851008,no_fixed_point
17,1.049158477655138,0.030491584776551374,0.002907851499282405,no_fixed_point
18,1.0520663291544203,0.030520663291544202,0.0029106817560732336,no_fixed_point
19,1.0549770109104937,0.030549770109104934,0.002913677612775504,no_fixed_point
20,1.0578906885232693,0.03057890688523269,0.002916839729016324,no_fixed_point
21,1.0608075282522855,0.03060807528252285,0.002920168802809155,no_fixed_point
22,1.0637276970550946,0.030637276970550943,0.0029236655708840924,no_fixed_point
23,1.0666513626259788,0.030666513626259786,0.0029273308090374955,no_fixed_point
24,1.0695786934350162,0.03069578693435016,0.0029311653325011892,no_fixed_point
25,1.0725098587675175,0.03072509858767517,0.0029351699963315863,no_fixed_point
26,1.075445028763849,0.03075445028763849,0.002939345695819018,no_fixed_point
27,1.0783843744596682,0.03078384374459668,0.0029436933669176307,no_fixed_point
28,1.0813280678265857,0.030813280678265855,0.0029482139866962073,no_fixed_point
29,1.084276281813282,0.030842762818132818,0.002952908573810302,no_fixed_point
30,1.0872291903870923,0.03087229190387092,0.00295777818899603,no_fixed_point
31,1.0901869685760883,0.03090186968576088,0.002962823935586001,no_fixed_point
32,1.0931497925116744,0.030931497925116742,0.002968046960047767,no_fixed_point
33,1.0961178394717221,0.030961178394717216,0.0029734484525453,no_fixed_point
34,1.0990912879242674,0.03099091287924267,0.00297902964752394,no_fixed_point
35,1.1020703175717912,0.03102070317571791,0.0029847918243192887,no_fixed_point
36,1.1050551093961105,0.031050551093961102,0.0029907363077906566,no_fixed_point
37,1.108045845703901,0.03108045845703901,0.002996864468979529,no_fixed_point
38,1.1110427101728806,0.031110427101728802,0.0030031777257936345,no_fixed_point
39,1.1140458878986743,0.03114045887898674,0.0030096775437172766,no_fixed_point
40,1.1170555654423915,0.031170555654423913,0.0030163654365484415,no_fixed_point
41,1.12007193087894,0.0312007193087894,0.00302324296716343,no_fixed_point
42,1.1230951738461035,0.031230951738461032,0.0030303117483096356,no_fixed_point
43,1.1261254855944132,0.03126125485594413,0.003037573443427177,no_fixed_point
44,1.1291630590378403,0.0312916305903784,0.0030450297675001167,no_fixed_point
45,1.1322080888053405,0.031322080888053404,0.0030526824879380833,no_fixed_point
46,1.1352607712932785,0.03135260771293278,0.0030605334254889607,no_fixed_point
47,1.1383213047187675,0.03138321304718767,0.0030685844551836695,no_fixed_point
48,1.1413898891739511,0.03141389889173951,0.003076837507313676,no_fixed_point
49,1.1444667266812647,0.031444667266812644,0.0030852945684422955,no_fixed_point
50,1.147552021249707,0.03147552021249707,0.00309395768245071,no_fixed_point
51,1.1506459789321577,0.031506459789321574,0.003102828951619497,no_fixed_point
52,1.1537488078837772,0.03153748807883777,0.0031119105377469484,no_fixed_point
53,1.156860718421524,0.03156860718421524,0.003121204663304967,no_fixed_point
54,1.159981923084829,0.031599819230848286,0.003130713612633843,no_fixed_point
55,1.163112636697463,0.03163112636697463,0.0031404397331769064,no_fixed_point
56,1.1662530764306398,0.0316625307643064,0.0031503854367562704,no_fixed_point
57,1.169403461867396,0.031694034618673955,0.0031605532008909393,no_fixed_point
58,1.172564015068287,0.03172564015068287,0.0031709455701585364,no_fixed_point
59,1.1757349606384455,0.031757349606384454,0.003181565157601882,no_fixed_point
60,1.1789165257960474,0.031789165257960474,0.003192414646181996,no_fixed_point
61,1.1821089404422294,0.03182108940442229,0.003203496790278761,no_fixed_point
62,1.1853124372325081,0.03185312437232508,0.0032148144172408823,no_fixed_point
63,1.188527251649749,0.03188527251649749,0.003226370428986613,no_fixed_point
64,1.1917536220787355,0.03191753622078735,0.003238167803656865,no_fixed_point
65,1.1949917898823923,0.03194991789882392,0.003250209597322487,no_fixed_point
66,1.1982419994797149,0.031982419994797145,0.0032624989457472574,no_fixed_point
67,1.2015044984254621,0.032015044984254615,0.003275039066208617,no_fixed_point
68,1.2047795374916708,0.032047795374916706,0.0032878332593779085,no_fixed_point
69,1.2080673707510488,0.032080673707510485,0.0033008849112620576,no_fixed_point
70,1.2113682556623109,0.032113682556623106,0.0033141974952089204,no_fixed_point
71,1.2146824531575198,0.03214682453157519,0.003327774573978171,no_fixed_point
72,1.218010227731498,0.03218010227731498,0.003341619801880188,no_fixed_point
73,1.221351847533378,0.032213518475333776,0.0033557369269849938,no_fixed_point
74,1.224707584460363,0.03224707584460362,0.003370129793403946,no_fixed_point
75,1.2280777142537669,0.032280777142537666,0.003384802343646371,no_fixed_point
76,1.2314625165974133,0.03231462516597413,0.0033997586210539176,no_fixed_point
77,1.2348622752184673,0.03234862275218467,0.0034150027723153335,no_fixed_point
78,1.2382772779907827,0.03238277277990782,0.0034305390500643865,no_fixed_point
79,1.241707817040847,0.03241707817040847,0.0034463718155639516,no_fixed_point
80,1.245154188856411,0.03245154188856411,0.0034625055414792792,no_fixed_point
